"Salad Topping, Quinoa Farro Mix","150.0","41","25","0"
"Salad Topping, Raw Beets","20.0","0","5","0"
"Salad Topping, Raw Brussels & Kale Slaw","60.0","41","2","0"
"Salad Topping, Roasted Balsamic Mushrooms","50.0","32","3","0"
"Salad Topping, Roasted Tomatoes","45.0","23","5","0"
"Salad Topping, Roasted Turkey","60.0","18","1","0"
"Salad Topping, Sauteed Kale Salad","110.0","41","13","0"
"Salad Topping, Sesame Tofu","80.0","41","3","0"
"Salad Topping, Shaved Parmesan Cheese","140.0","63","0","0"
"Salad Topping, Shrimp","45.0","0","0","0"
"Salad Topping, Steak","90.0","41","1","0"
"Salad Topping, Supergreens Blend","70.0","4.5","14","0"
"Salad Topping, Sweet Potatoes","50.0","0","13","0"
"Salad Topping, Tandoori Chicken","90.0","18","2","0"
"Salad Topping, Tortilla Strips","45.0","23","5","0"
"Salad Topping, Walnuts","140.0","126","2","1"
"Salad Topping, White Cheddar Cheese","130.0","99","1","1"
"Salad Topping, Wonton Strips","5.0","0","1","0"
"Seared Tuna Salad","330.0","117","34","0"
"Seared Tuna Wrap","560.0","171","71","0"
"Smokehouse Steak Salad","380.0","153","34","0"
"Smokehouse Steak Wrap","630.0","198","78","0"
"Smoky Poblano Ranch Dressing","100.0","99","1","1"
"Spicy Chicken Caesar Wrap","680.0","252","58","0"
"Spicy Thai Peanut Dressing","140.0","117","4","1"
"Spicy Turmeric Tahini Dressing","110.0","108","1","1"
"Strawberry Banana Smoothie","220.0","23","49","0"
"Sweet Valley Mix Salad","380.0","198","32","0"
"Sweet Valley Mix Wrap","740.0","342","71","0"
"Tandoori Fire Salad","350.0","117","29","0"
"Tandoori Fire Wrap","600.0","171","72","0"
"Thai Chicken Crunch Salad","170.0","18","19","0"
"Thai Chicken Crunch Wrap","430.0","81","60","0"
"The California Salad","310.0","144","19","0"
"The California Wrap","580.0","198","62","0"
"Tokyo Supergreens with Chicken Salad","380.0","171","31","0"
"Tokyo Supergreens with Chicken Wrap","620.0","225","68","0"
"Tokyo Supergreens with Tofu Salad","370.0","207","31","0"
"Tokyo Supergreens with Tofu Wrap","600.0","252","68","0"
"Turkey Chili, Large","460.0","180","42","0"
"Turkey Chili, Small","230.0","90","21","0"
"Benny Blanco (1 of 6 Slices)","170.0","90","14","0"
"Buffalo Chicken (1 of 6 Slices)","200.0","99","14","0"
"Caesar","600.0","441","19","0"
"Caprese","600.0","450","15","0"
"Easy Caprese (1 of 6 Slices)","100.0","23","15","0"
"Get LIT (1 of 6 Slices)","160.0","72","15","0"
"Green Lite","520.0","405","18","0"
"Here Today, Gone to Maui (1 of 6 Slices)","150.0","54","15","0"
"Homestyle Chocolate Chunk Cookie","460.0","171","70","0"
"LA BBQ Chicken (1 of 6 Slices)","140.0","45","16","0"
"Localite (1 of 6 Slices)","140.0","54","15","0"
"Meatballin' (1 of 6 Slices)","140.0","54","14","0"
"Pesto Pollo (1 of 6 Slices)","140.0","63","14","0"
"Sausage & Peppers (1 of 6 Slices)","110.0","36","15","0"
"Veggie (1 of 6 Slices)","180.0","99","16","0"
"Alpine Vanilla","100.0","0","22","0"
"Apple Pie","100.0","0","22","0"
"Banana Flambe Gelato","140.0","54","20","0"
"Berry Acai","90.0","0","22","0"
"Blueberry","80.0","0","17","0"
"Cable Car Chocolate","100.0","0","22","0"
"Cake Batter","110.0","14","21","0"
"Cappuccino","100.0","0","22","0"
"Caramelized Pineapple","90.0","0","23","0"
"Cheesecake","80.0","0","18","0"
"Chocolate","90.0","0","20","0"
"Chocolate Caramel Turtle","120.0","14","25","0"
"Chocolate Classic","110.0","0","24","0"
